Mark,WIND,Competitor,Nat,Venue,Date,Speed
10.64,1.2,Carmelita JETER,USA,Shanghai (CHN),2009-09-20,33.83458646616541
10.697499999999998,0.6,Shelly-Ann FRASER-PRYCE,JAM,Kingston (JAM),2012-06-29,33.65272259873803
10.702499999999999,0.3,Elaine THOMPSON,JAM,Kingston (JAM),2016-07-01,33.637000700770855
10.74,1.0,English GARDNER,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03,33.5195530726257
10.747499999999999,0.4,Kerron STEWART,JAM,"Stadio Olimpico, Roma (ITA)",2009-07-10,33.49616189811585
10.7525,1.6,Sha'Carri RICHARDSON,USA,"Austin, TX (USA)",2019-06-08,33.48058591025343
10.76,1.1,Veronica CAMPBELL-BROWN,JAM,"MestskÃ½ Stadion, Ostrava (CZE)",2011-05-31,33.457249070631974
10.77625,1.8,Torri EDWARDS,USA,"Eugene, OR (USA)",2008-06-28,33.40679735529522
10.778749999999999,1.0,Tori BOWIE,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03,33.39904905485331
10.781249999999998,1.6,Murielle AHOURÃ‰,CIV,"Montverde, FL (USA)",2016-06-11,33.39130434782609
10.783749999999998,1.0,Tianna BARTOLETTA,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03,33.38356323171439
10.79,1.1,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Olympic Stadium, London (GBR)",2013-07-27,33.364226135310474
10.81,-0.3,Dafne SCHIPPERS,NED,"National Stadium, Beijing (CHN)",2015-08-24,33.30249768732655
10.82,0.9,Michelle-Lee AHYE,TTO,Port-of-Spain (TTO),2017-06-24,33.271719038817004
10.83,0.1,Dina ASHER-SMITH,GBR,"Khalifa International Stadium, Doha (QAT)",2019-09-29,33.2409972299169
10.84,1.8,Kelly-Ann BAPTISTE,TTO,"Clermont, FL (USA)",2010-06-05,33.210332103321036
10.845999999999998,1.0,Muna LEE,USA,"Eugene, OR (USA)",2008-06-28,33.1919601696478
10.847999999999999,2.0,Barbara PIERRE,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21,33.18584070796461
10.85,1.5,Marie-JosÃ©e TA LOU,CIV,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,33.17972350230415
10.851999999999999,2.0,Aleia HOBBS,USA,"Baton Rouge, LA (USA)",2017-04-29,33.1736085514191
10.854,0.2,Elaine THOMPSON-HERAH,JAM,"Stadio Olimpico, Roma (ITA)",2020-09-17,33.16749585406302
10.86,2.0,Marshevet HOOKER,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04,33.149171270718234
10.867499999999998,1.8,Octavious FREEMAN,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21,33.12629399585922
10.872499999999999,0.7,Sherone SIMPSON,JAM,Kingston (JAM),2008-06-27,33.11106001379628
10.89,1.5,Allyson FELIX,USA,"Olympic Stadium, London (GBR)",2012-08-04,33.05785123966942
10.897499999999999,1.0,Lauryn WILLIAMS,USA,"Eugene, OR (USA)",2008-06-28,33.035099793530634
10.9025,1.8,Shalonda SOLOMON,USA,"Clermont, FL (USA)",2010-06-05,33.019949552854854
10.907499999999999,1.8,Alexandria ANDERSON,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21,33.00481320192529
10.9125,-0.2,RosÃ¢ngela SANTOS,BRA,"Olympic Stadium, London (GBR)",2017-08-06,32.98969072164948
10.917499999999999,1.4,Jenna PRANDINI,USA,"Walnut, CA (USA)",2015-04-18,32.97458209297
10.9225,1.2,Jasmine TODD,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26,32.959487296864275
10.93,1.2,Jeneba TARMOH,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26,32.93687099725526
10.94,-0.1,Schillonie CALVERT-POWELL,JAM,"Mesa, AZ (USA)",2017-06-10,32.90676416819013
10.945999999999998,1.6,Kayla WHITE,USA,"Austin, TX (USA)",2019-06-08,32.888726475424825
10.947999999999999,1.8,Simone FACEY,JAM,"Boulder, CO (USA)",2008-05-18,32.882718304713194
10.95,1.0,Morolake AKINOSUN,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03,32.87671232876713
10.951999999999998,1.3,Gina LÃœCKENKEMPER,GER,"Olympic Stadium, London (GBR)",2017-08-05,32.87070854638423
10.953999999999999,1.1,Mujinga KAMBUNDJI,SUI,Zofingen (SUI),2018-07-13,32.86470695636298
10.955714285714286,0.6,Ashley HENDERSON,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-22,32.85956448037554
10.957142857142857,0.9,Natasha MORRISON,JAM,"National Stadium, Beijing (CHN)",2015-08-24,32.85528031290743
10.958571428571428,1.0,Christania WILLIAMS,JAM,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-13,32.8509972624169
10.96,2.0,Aurieyall SCOTT,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21,32.84671532846715
10.961428571428572,0.3,Mikiah BRISCO,USA,"Eugene, OR (USA)",2017-06-10,32.84243451062166
10.962857142857143,1.9,Kimberlyn DUNCAN,USA,"Baton Rouge, LA (USA)",2012-05-13,32.838154808444095
10.964285714285714,0.8,Ivet LALOVA-COLLIO,BUL,Sliven (BUL),2011-07-02,32.83387622149837
10.966666666666667,1.2,LaShauntea MOORE,USA,Maringa (BRA),2010-05-30,32.82674772036474
10.97,0.0,Debbie FERGUSON-MCKENZIE,BAH,"Stade Louis II, Monaco (MON)",2009-07-28,32.81677301731996
10.973333333333333,1.8,Mechelle LEWIS,USA,"Eugene, OR (USA)",2008-06-28,32.806804374240585
10.975833333333332,2.0,Candace HILL,USA,"Shoreline, WA (USA)",2015-06-20,32.79933186546201
10.9775,1.4,Shaunae MILLER-UIBO,BAH,"National Training Center, Clermont, FL (USA)",2020-07-24,32.79435208380779
10.979166666666666,1.5,Carina HORN,RSA,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,32.78937381404175
10.980833333333333,1.6,Twanisha TERRY,USA,"Austin, TX (USA)",2019-06-08,32.78439705547545
10.9825,0.5,Carrie RUSSELL,JAM,"Letzigrund, ZÃ¼rich (SUI)",2013-08-29,32.779421807420896
10.984166666666667,1.5,Shania COLLINS,USA,"Eugene, OR (USA)",2018-06-07,32.7744480691905
10.985714285714286,0.4,Chandra STURRUP,BAH,"Stadio Olimpico, Roma (ITA)",2009-07-10,32.76983094928479
10.987142857142857,0.9,Ãngela Gabriela TENORIO,ECU,"CIBC, Toronto (CAN)",2015-07-22,32.76557014692498
10.988571428571428,1.8,Dezerea BRYANT,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-21,32.7613104524181
10.99,1.2,Yongli WEI,CHN,La Chaux-de-Fonds (SUI),2018-07-01,32.75705186533212
10.991428571428571,1.7,Hannah CUNLIFFE,USA,"Walnut, CA (USA)",2016-04-16,32.75279438523525
10.992857142857142,1.8,Oludamola OSAYOMI,NGR,SÃ£o Paulo (BRA),2011-05-22,32.748538011695906
10.994285714285713,1.4,Teahna DANIELS,USA,"Sacramento, CA (USA)",2019-05-24,32.74428274428275
10.99625,0.7,Deajah STEVENS,USA,"Torrance, CA (USA)",2017-04-15,32.73843355689439
10.99875,1.8,Candyce MCGRONE,USA,"Hayward Field, Eugene, OR (USA)",2015-06-25,32.7309921581998
11.001249999999999,1.5,Samantha HENRY-ROBINSON,JAM,"Clermont, FL (USA)",2014-04-26,32.72355414157482
11.003749999999998,1.2,Tatjana PINTO,GER,Mannheim (GER),2016-07-29,32.71611950471431
