Mark,WIND,Competitor,Nat,Venue,Date
9.58,9.0,Usain BOLT,JAM,"Olympiastadion, Berlin (GER)",2009-08-16
9.63,15.0,Usain BOLT,JAM,"Olympic Stadium, London (GBR)",2012-08-05
9.69,0.0,Usain BOLT,JAM,"National Stadium, Beijing (CHN)",2008-08-16
9.69,-1.0,Yohan BLAKE,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2012-08-23
9.69,20.0,Tyson GAY,USA,Shanghai (CHN),2009-09-20
9.7,0.0,Michael HERRERA,CUB,La Habana (CUB),2010-03-19
9.72,2.0,Asafa POWELL,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02
9.74,9.0,Justin GATLIN,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15
9.76,6.0,Christian COLEMAN,USA,"Khalifa International Stadium, Doha (QAT)",2019-09-28
9.76,13.0,Usain BOLT,JAM,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16
9.77,-3.0,Usain BOLT,JAM,"Luzhniki, Moskva (RUS)",2013-08-11
9.77,16.0,Tyson GAY,USA,"Eugene, OR (USA)",2008-06-28
9.77,6.0,Justin GATLIN,USA,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05
9.78,9.0,Nesta CARTER,JAM,"Guidobaldi, Rieti (ITA)",2010-08-29
9.78,-4.0,Tyson GAY,USA,"Crystal Palace, London (GBR)",2010-08-13
9.78,10.0,Asafa POWELL,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30
9.79,-5.0,Usain BOLT,JAM,"National Stadium, Beijing (CHN)",2015-08-23
9.79,15.0,Justin GATLIN,USA,"Olympic Stadium, London (GBR)",2012-08-05
9.79,11.0,Tyson GAY,USA,"Clermont, FL (USA)",2011-06-04
9.79,-3.0,Christian COLEMAN,USA,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31
9.8,18.0,Nicholas IMHOAPERAMHE,NGR,Kaduna (NGR),2014-10-31
9.8,2.0,Chinedu ORIALA,NGR,Abuja (NGR),2008-06-23
9.8,16.0,David LESCAY,CUB,La Habana (CUB),2010-02-18
9.8,13.0,Steve MULLINGS,JAM,"Hayward Field, Eugene, OR (USA)",2011-06-04
9.8,16.0,Justin GATLIN,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
9.81,13.0,Asafa POWELL,JAM,Paris (FRA),2015-07-04
9.81,2.0,Usain BOLT,JAM,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-14
