Mark,WIND,Competitor,Nat,Venue,Date,Speed
9.58,0.9,Usain BOLT,JAM,"Olympiastadion, Berlin (GER)",2009-08-16,37.578288100208766
9.687499999999998,-0.1,Yohan BLAKE,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2012-08-23,37.161290322580655
9.692499999999999,2.0,Tyson GAY,USA,Shanghai (CHN),2009-09-20,37.14212019602786
9.7,0.0,Michael HERRERA,CUB,La Habana (CUB),2010-03-19,37.11340206185567
9.72,0.2,Asafa POWELL,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,37.03703703703703
9.74,0.9,Justin GATLIN,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",2015-05-15,36.96098562628337
9.76,0.6,Christian COLEMAN,USA,"Khalifa International Stadium, Doha (QAT)",2019-09-28,36.885245901639344
9.78,0.9,Nesta CARTER,JAM,"Guidobaldi, Rieti (ITA)",2010-08-29,36.809815950920246
9.79625,1.3,Steve MULLINGS,JAM,"Hayward Field, Eugene, OR (USA)",2011-06-04,36.74875590149291
9.79875,0.2,Chinedu ORIALA,NGR,Abuja (NGR),2008-06-23,36.739380022962116
9.80125,1.8,Nicholas IMHOAPERAMHE,NGR,Kaduna (NGR),2014-10-31,36.73000892743273
9.803749999999999,1.6,David LESCAY,CUB,La Habana (CUB),2010-02-18,36.7206426112457
9.82,1.7,Richard THOMPSON,TTO,Port-of-Spain (TTO),2014-06-21,36.65987780040733
9.84,1.6,Trayvon BROMELL,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03,36.58536585365854
9.85,1.3,Michael RODGERS,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04,36.54822335025381
9.855999999999998,0.9,Noah LYLES,USA,"Shanghai Stadium, Shanghai (CHN)",2019-05-18,36.52597402597404
9.857999999999999,1.6,Michael NORMAN,USA,"AP Ranch, Fort Worth, TX (USA)",2020-07-20,36.51856360316495
9.86,1.4,Keston BLEDMAN,TTO,Port-of-Spain (TTO),2012-06-23,36.51115618661258
9.861999999999998,1.3,Jimmy VICAUT,FRA,Paris (FRA),2015-07-04,36.50375177448794
9.863999999999999,0.8,Divine ODUDURU,NGR,"Austin, TX (USA)",2019-06-07,36.496350364963504
9.87,-0.1,Ronnie BAKER,USA,"Stadion ÅšlÄ…ski, ChorzÃ³w (POL)",2018-08-22,36.474164133738604
9.876666666666667,0.9,Ryan BAILEY,USA,"Guidobaldi, Rieti (ITA)",2010-08-29,36.44954438069524
9.88,1.0,Michael FRATER,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2011-06-30,36.43724696356276
9.883333333333333,1.0,Walter DIX,USA,Luzern (SUI),2010-08-08,36.42495784148398
9.88625,1.6,Darvis PATTON,USA,"Eugene, OR (USA)",2008-06-28,36.414211657605264
9.88875,1.6,Travis PADGETT,USA,"Eugene, OR (USA)",2008-06-28,36.40500568828214
9.89125,1.9,Akani SIMBINE,RSA,"SÃ³stÃ³i Stadion, SzÃ©kesfehÃ©rvÃ¡r (HUN)",2016-07-18,36.3958043725515
9.893749999999999,1.3,Ngonidzashe MAKUSHA,ZIM,"Des Moines, IA (USA)",2011-06-10,36.38660770688566
9.895416666666666,0.9,Edward OSEI-NKETIA,NZL,Canberra (AUS),2018-11-24,36.38047917807066
