Mark,WIND,Competitor,Nat,Venue,Date
10.64,12.0,Carmelita JETER,USA,Shanghai (CHN),2009-09-20
10.7,20.0,Carmelita JETER,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04
10.7,6.0,Shelly-Ann FRASER-PRYCE,JAM,Kingston (JAM),2012-06-29
10.7,3.0,Elaine THOMPSON,JAM,Kingston (JAM),2016-07-01
10.71,1.0,Shelly-Ann FRASER-PRYCE,JAM,"Khalifa International Stadium, Doha (QAT)",2019-09-29
10.71,-3.0,Shelly-Ann FRASER-PRYCE,JAM,"Luzhniki, Moskva (RUS)",2013-08-12
10.71,8.0,Elaine THOMPSON,JAM,Kingston (JAM),2017-06-23
10.73,1.0,Shelly-Ann FRASER-PRYCE,JAM,"Olympiastadion, Berlin (GER)",2009-08-17
10.73,6.0,Elaine THOMPSON,JAM,Kingston (JAM),2019-06-21
10.74,2.0,Shelly-Ann FRASER-PRYCE,JAM,Paris (FRA),2015-07-04
10.74,10.0,English GARDNER,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
10.75,4.0,Kerron STEWART,JAM,"Stadio Olimpico, Roma (ITA)",2009-07-10
10.75,16.0,Sha'Carri RICHARDSON,USA,"Austin, TX (USA)",2019-06-08
10.76,11.0,Veronica CAMPBELL-BROWN,JAM,"MestskÃ½ Stadion, Ostrava (CZE)",2011-05-31
10.78,10.0,Tori BOWIE,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
10.78,16.0,Murielle AHOURÃ‰,CIV,"Montverde, FL (USA)",2016-06-11
10.78,8.0,Veronica CAMPBELL-BROWN,JAM,"Hayward Field, Eugene, OR (USA)",2010-07-03
10.78,15.0,Carmelita JETER,USA,"Olympic Stadium, London (GBR)",2012-08-04
10.78,10.0,Tianna BARTOLETTA,USA,"Hayward Field, Eugene, OR (USA)",2016-07-03
10.78,18.0,Torri EDWARDS,USA,"Eugene, OR (USA)",2008-06-28
10.78,0.0,Shelly-Ann FRASER-PRYCE,JAM,"National Stadium, Beijing (CHN)",2008-08-17
10.79,15.0,English GARDNER,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.79,11.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Olympic Stadium, London (GBR)",2013-07-27
10.8,2.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,Paris (FRA),2015-07-04
10.8,7.0,Kerron STEWART,JAM,Kingston (JAM),2008-06-27
10.8,8.0,Tori BOWIE,USA,"Stade Louis II, Monaco (MON)",2014-07-18
10.81,17.0,Murielle AHOURÃ‰,CIV,"Hayward Field, Eugene, OR (USA)",2015-05-30
10.81,-3.0,Dafne SCHIPPERS,NED,"National Stadium, Beijing (CHN)",2015-08-24
10.81,15.0,Veronica CAMPBELL-BROWN,JAM,"Olympic Stadium, London (GBR)",2012-08-04
10.81,12.0,Tori BOWIE,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26
10.82,9.0,Michelle-Lee AHYE,TTO,Port-of-Spain (TTO),2017-06-24
10.82,4.0,Carmelita JETER,USA,"Stade Louis II, Monaco (MON)",2010-07-22
10.83,11.0,Murielle AHOURÃ‰,CIV,"Montverde, FL (USA)",2017-06-10
10.83,1.0,Dina ASHER-SMITH,GBR,"Khalifa International Stadium, Doha (QAT)",2019-09-29
10.83,7.0,Dafne SCHIPPERS,NED,"Suhaim bin Hamad Stadium, Doha (QAT)",2016-05-06
10.83,16.0,Veronica CAMPBELL-BROWN,JAM,"Montverde, FL (USA)",2016-06-11
10.84,11.0,Veronica CAMPBELL-BROWN,JAM,"Montverde, FL (USA)",2017-06-10
10.84,15.0,Elaine THOMPSON,JAM,"Hayward Field, Eugene, OR (USA)",2015-05-30
10.84,18.0,Kelly-Ann BAPTISTE,TTO,"Clermont, FL (USA)",2010-06-05
10.84,14.0,Kelly-Ann BAPTISTE,TTO,Port-of-Spain (TTO),2015-06-27
10.85,15.0,Tianna BARTOLETTA,USA,"Olympic Stadium, London (GBR)",2012-08-04
10.85,2.0,Elaine THOMPSON-HERAH,JAM,"Stadio Olimpico, Roma (ITA)",2020-09-17
10.85,0.0,Dina ASHER-SMITH,GBR,"Olympiastadion, Berlin (GER)",2018-08-07
10.85,-3.0,Marie-JosÃ©e TA LOU,CIV,"Khalifa International Stadium, Doha (QAT)",2019-09-28
10.85,18.0,English GARDNER,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.85,1.0,Tori BOWIE,USA,"Olympic Stadium, London (GBR)",2017-08-06
10.85,20.0,Aleia HOBBS,USA,"Baton Rouge, LA (USA)",2017-04-29
10.85,10.0,Muna LEE,USA,"Eugene, OR (USA)",2008-06-28
10.85,16.0,Michelle-Lee AHYE,TTO,Port-of-Spain (TTO),2014-06-21
10.85,3.0,Blessing OKAGBARE-IGHOTEGUONOR,NGR,"Hampden Park, Glasgow (GBR)",2014-07-28
10.85,15.0,Marie-JosÃ©e TA LOU,CIV,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04
10.85,20.0,Barbara PIERRE,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.86,20.0,Marshevet HOOKER,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04
10.86,20.0,Veronica CAMPBELL-BROWN,JAM,"Clermont, FL (USA)",2014-06-07
10.86,10.0,Kelly-Ann BAPTISTE,TTO,"National Stadium, Kingston (JAM)",2012-05-05
10.86,5.0,Shelly-Ann FRASER-PRYCE,JAM,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-13
10.86,9.0,Shelly-Ann FRASER-PRYCE,JAM,"National Stadium, Kingston (JAM)",2020-08-22
10.86,1.0,Marie-JosÃ©e TA LOU,CIV,"Olympic Stadium, London (GBR)",2017-08-06
10.86,5.0,Marie-JosÃ©e TA LOU,CIV,"EstÃ¡dio OlÃ­mpico, Rio de Janeiro (BRA)",2016-08-13
10.87,0.0,Veronica CAMPBELL-BROWN,JAM,"Crystal Palace, London (GBR)",2008-07-26
10.87,18.0,Octavious FREEMAN,USA,"Drake Stadium, Des Moines, IA (USA)",2013-06-21
10.87,7.0,Sherone SIMPSON,JAM,Kingston (JAM),2008-06-27
10.87,20.0,Kerron STEWART,JAM,"Hayward Field, Eugene, OR (USA)",2011-06-04
10.88,9.0,Kelly-Ann BAPTISTE,TTO,Port-of-Spain (TTO),2017-06-24
10.89,15.0,Allyson FELIX,USA,"Olympic Stadium, London (GBR)",2012-08-04
10.89,-2.0,Veronica CAMPBELL-BROWN,JAM,"National Stadium, Beijing (CHN)",2015-08-24
10.89,12.0,Veronica CAMPBELL-BROWN,JAM,Shanghai (CHN),2009-09-20
10.9,19.0,Murielle AHOURÃ‰,CIV,"Hayward Field, Eugene, OR (USA)",2018-05-26
